,Customer ID,Age,MonthlyUsage,Payment Method,Tenure in Months,Churn
111,4611-ANLQC,31,400,Bank Withdrawal,34,0
112,7129-CAKJW,62,285,Bank Withdrawal,23,0
113,2397-BRLOM,67,468,Credit Card,27,1
114,3197-NNYNB,47,370,Credit Card,16,0
115,0139-IVFJG,19,199,Bank Withdrawal,24,0
116,5167-GBFRE,73,450,Bank Withdrawal,40,1
117,3070-DVEYC,78,392,Credit Card,24,1
118,0396-HUJBP,34,232,Credit Card,28,0
119,0813-TAXXS,48,149,Bank Withdrawal,18,0
120,0811-GSDTP,50,268,Bank Withdrawal,21,0
121,9522-BNTHX,72,139,Bank Withdrawal,33,0
122,9242-TKFSV,53,52,Credit Card,29,0
123,8993-PHFWD,62,561,Bank Withdrawal,20,1
124,6481-LXPWL,61,79,Credit Card,17,0
125,0547-HURJB,19,81,Credit Card,21,0
126,4361-BKAXE,23,398,Bank Withdrawal,29,1
127,5240-CAOYT,30,157,Bank Withdrawal,22,0
128,3714-XPXBW,43,302,Credit Card,24,0
129,6599-CEBNN,63,591,Credit Card,33,1
130,9488-FYQAU,64,224,Bank Withdrawal,24,0
131,8914-RBTSB,62,582,Bank Withdrawal,25,1
132,1963-VAUKV,31,540,Mailed Check,26,1
133,7217-JYHOQ,30,166,Credit Card,20,0
134,7657-DYEPJ,73,409,Credit Card,31,1
135,9372-TXXPS,49,221,Bank Withdrawal,23,0
136,1291-CUOCY,55,101,Credit Card,18,0
137,1845-CSBRZ,71,132,Bank Withdrawal,26,0
138,6647-ZEDXT,19,317,Credit Card,30,0
139,9058-HRZSV,77,389,Bank Withdrawal,33,0
140,0988-AADSA,40,201,Bank Withdrawal,21,0
141,8229-TNIQA,36,261,Credit Card,36,1
142,8050-WYBND,55,80,Credit Card,17,0
143,9027-YFHQJ,26,202,Bank Withdrawal,23,0
144,6051-PTVNS,31,358,Credit Card,16,0
145,0621-CXBKL,62,124,Mailed Check,28,0
146,4374-YMUSQ,64,287,Credit Card,32,0
147,5438-QMDDL,20,328,Credit Card,20,0
148,3096-IZETN,32,284,Bank Withdrawal,38,1
149,8008-ESFLK,43,355,Bank Withdrawal,17,0
150,5228-EXCET,40,464,Bank Withdrawal,40,1
151,4397-FRLTA,35,295,Credit Card,28,0
152,6048-NJXHX,21,278,Bank Withdrawal,15,0
153,5982-FPVQN,40,295,Bank Withdrawal,16,0
154,5232-NXPAY,33,125,Credit Card,19,0
155,5129-JLPIS,27,88,Bank Withdrawal,35,0
156,9497-QCMMS,73,253,Bank Withdrawal,24,1
157,4933-BSAIP,39,95,Credit Card,33,0
158,4250-FDVOU,44,296,Bank Withdrawal,36,1
159,2924-KHUVI,28,197,Bank Withdrawal,25,0
160,4800-CZMPC,24,581,Credit Card,40,1
161,3758-CKOQL,20,206,Credit Card,24,0
162,5574-NXZIU,36,381,Credit Card,19,0
163,0411-EZJZE,62,63,Bank Withdrawal,25,0
164,2868-SNELZ,54,383,Credit Card,28,1
165,3359-DSRKA,48,195,Credit Card,22,0
166,1972-XMUWV,46,281,Credit Card,29,0
167,2746-DIJLO,40,210,Credit Card,16,0
168,6568-POCUI,51,391,Credit Card,23,0
169,7394-FKDNK,62,257,Bank Withdrawal,34,1
170,9114-AAFQH,27,270,Bank Withdrawal,23,0
171,1099-GODLO,62,373,Credit Card,28,0
172,7826-VVKWT,69,349,Bank Withdrawal,26,0
173,9445-SZLCH,39,257,Bank Withdrawal,23,1
174,2481-SBOYW,62,361,Credit Card,26,0
175,3251-YMVWZ,34,371,Bank Withdrawal,27,0
176,0319-QZTCO,25,148,Credit Card,32,0
177,7873-CVMAW,61,148,Credit Card,17,0
178,9507-HSMMZ,48,241,Credit Card,21,0
179,2974-GGUXS,74,214,Credit Card,19,0
180,4702-IOQDC,58,274,Bank Withdrawal,37,1
181,9191-MYQKX,34,392,Bank Withdrawal,36,1
182,5868-CZJDR,41,559,Mailed Check,30,1
183,7325-ENZFI,37,210,Bank Withdrawal,29,0
184,3858-VOBET,48,474,Bank Withdrawal,39,1
185,0988-JRWWP,50,90,Bank Withdrawal,16,0
186,0956-SYCWG,61,358,Bank Withdrawal,25,0
187,0840-DFEZH,63,214,Bank Withdrawal,33,0
188,2979-SXESE,57,337,Bank Withdrawal,26,1
189,1496-GGSUK,68,420,Mailed Check,24,1
190,3266-FTKHB,35,219,Credit Card,26,0
191,8499-BRXTD,28,221,Credit Card,34,0
192,5702-SKUOB,34,66,Credit Card,15,0
193,5804-HYIEZ,40,316,Bank Withdrawal,33,0
194,5482-VXSXJ,50,117,Credit Card,25,0
195,9137-UIYPG,33,293,Bank Withdrawal,24,0
196,8763-KIAFH,37,59,Credit Card,21,0
197,6131-IUNXN,47,243,Mailed Check,18,0
198,8063-RJYNF,27,592,Bank Withdrawal,38,1
199,5146-CBVOE,44,389,Bank Withdrawal,23,0
200,0114-IGABW,40,322,Bank Withdrawal,29,0
201,4452-QIIEB,41,291,Credit Card,24,0
202,2885-HIJDH,47,165,Bank Withdrawal,34,0
203,3370-HXOPH,50,316,Bank Withdrawal,19,0
204,0508-OOLTO,33,127,Bank Withdrawal,19,0
205,5680-LQOGP,21,223,Credit Card,19,0
206,3192-LNKRK,63,59,Credit Card,19,0
207,2634-HCZGT,71,320,Bank Withdrawal,22,1
208,5049-MUBWG,24,301,Bank Withdrawal,18,0
209,3538-WZPHD,46,440,Bank Withdrawal,32,1
210,4430-YHXGG,20,76,Credit Card,17,0
211,7207-RMRDB,20,312,Bank Withdrawal,20,1
212,2150-UWTFY,21,403,Credit Card,29,1
213,3090-QFUVD,48,156,Credit Card,18,0
214,3978-YNKDD,62,216,Credit Card,32,0
215,2181-UAESM,30,87,Bank Withdrawal,25,0
216,9725-SCPZG,47,439,Bank Withdrawal,38,1
217,9578-VRMNM,48,428,Credit Card,35,1
218,0562-FGDCR,61,110,Credit Card,17,0
219,3913-FCUUW,52,346,Bank Withdrawal,15,0
220,1936-CZAKF,22,96,Credit Card,24,0
221,6496-JDSSB,24,345,Bank Withdrawal,21,0
222,7014-ZZXAW,30,244,Credit Card,35,0
223,2927-QRRQV,44,165,Bank Withdrawal,22,0
224,5156-UMKOW,44,349,Mailed Check,32,0
225,5180-UCIIQ,80,293,Mailed Check,20,1
226,2085-JVGAD,56,335,Bank Withdrawal,22,0
227,2758-RNWXS,60,310,Bank Withdrawal,23,0
228,1310-QRITU,40,314,Bank Withdrawal,35,0
229,5339-TJFEK,22,336,Bank Withdrawal,19,0
230,2484-DGXPZ,45,495,Credit Card,39,1
231,4316-XCSLJ,35,311,Credit Card,15,0
232,0641-EVBOJ,61,284,Credit Card,21,0
233,8966-KZXXA,48,111,Credit Card,17,0
234,5405-ZMYXQ,21,333,Credit Card,20,0
235,3810-PJUHR,63,70,Credit Card,31,0
236,9053-JZFKV,25,385,Credit Card,22,1
237,5261-QSHQM,31,572,Bank Withdrawal,24,1
238,4373-MAVJG,64,279,Bank Withdrawal,28,1
239,3312-UUMZW,33,143,Credit Card,15,0
240,2220-IAHLS,49,233,Credit Card,31,0
241,2428-ZMCTB,24,318,Credit Card,33,0
242,5175-WLYXL,56,298,Credit Card,31,0
243,6870-ZWMNX,55,295,Credit Card,26,0
244,2984-TBYKU,38,172,Credit Card,28,0
245,3223-DWFIO,77,189,Bank Withdrawal,25,0
246,5753-QQWPW,57,133,Bank Withdrawal,23,0
247,9337-SRRNI,64,265,Credit Card,32,0
248,8710-YGLWG,44,254,Credit Card,34,0
249,0404-SWRVG,21,597,Bank Withdrawal,26,1
250,3213-VVOLG,22,344,Credit Card,19,0
251,6508-NJYRO,36,170,Credit Card,15,0
252,9286-BHDQG,46,364,Credit Card,15,0
253,0784-ZQJZX,22,259,Credit Card,22,0
254,1661-CZBAU,50,265,Bank Withdrawal,15,0
255,4847-QNOKA,30,479,Bank Withdrawal,25,1
256,5294-DMSFH,32,76,Credit Card,17,0
257,9614-RMGHA,29,516,Bank Withdrawal,25,1
258,5652-MSDEY,37,370,Mailed Check,20,0
259,8869-LIHMK,51,393,Bank Withdrawal,30,0
260,4304-XUMGI,74,265,Bank Withdrawal,35,0
261,7541-YLXCL,25,377,Credit Card,28,1
262,8878-RYUKI,30,156,Bank Withdrawal,28,0
263,3373-DIUUN,58,271,Credit Card,32,0
264,9708-KFDBY,29,232,Credit Card,30,0
265,7931-PXHFC,46,292,Credit Card,39,1
266,8898-KASCD,41,336,Credit Card,15,0
267,8984-HPEMB,58,307,Bank Withdrawal,17,0
268,2777-PHDEI,20,466,Bank Withdrawal,36,1
269,3976-HXHCE,57,234,Bank Withdrawal,31,0
270,8149-AIQCG,43,171,Credit Card,23,0
271,3148-BLQJT,33,319,Credit Card,21,1
272,7601-DHFWZ,54,320,Credit Card,16,0
273,4654-DLAMQ,69,111,Bank Withdrawal,21,0
274,2928-HLDBA,31,294,Credit Card,18,0
275,8232-CTLKO,58,79,Bank Withdrawal,27,0
276,4472-LVYGI,43,256,Bank Withdrawal,26,0
277,1965-AKTSX,65,591,Bank Withdrawal,30,1
278,2070-FNEXE,77,318,Bank Withdrawal,24,1
279,1698-XFZCI,30,119,Bank Withdrawal,18,0
280,0402-OAMEN,36,235,Bank Withdrawal,15,0
281,0640-YJTPY,19,198,Bank Withdrawal,30,0
282,1866-OBPNR,28,319,Credit Card,31,0
283,3874-EQOEP,32,516,Credit Card,31,1
284,1641-RQDAY,77,67,Bank Withdrawal,23,0
285,6242-FEGFD,43,131,Credit Card,21,0
286,4010-YLMVT,25,388,Credit Card,17,0
287,8544-JNBOX,31,305,Credit Card,35,0
288,4510-PYUSH,67,530,Credit Card,30,1
289,3059-NGMXB,52,386,Credit Card,35,0
290,2545-EBUPK,70,91,Bank Withdrawal,15,0
291,8974-OVACP,40,369,Mailed Check,32,0
292,0923-PNFUB,55,290,Bank Withdrawal,28,1
293,6369-MCAKO,50,107,Bank Withdrawal,20,0
294,9003-CPATH,53,245,Bank Withdrawal,28,0
295,6631-HMANX,39,153,Credit Card,23,0
296,3512-IZIKN,57,600,Credit Card,34,1
297,7056-IMHCC,69,469,Bank Withdrawal,37,1
298,7548-SEPYI,62,395,Bank Withdrawal,29,1
299,3137-LUPIX,58,358,Credit Card,19,0
300,7595-EUIVN,53,362,Bank Withdrawal,35,1
301,7184-LRUUR,22,397,Bank Withdrawal,19,0
302,9140-CZQZZ,38,365,Bank Withdrawal,33,0
303,6551-VLJMV,44,80,Credit Card,25,0
304,0489-WMEMG,61,99,Bank Withdrawal,26,0
305,8690-ZVLCL,49,336,Credit Card,24,0
306,1091-SOZGA,27,245,Credit Card,31,0
307,4283-FUTGF,67,466,Bank Withdrawal,31,1
308,5394-MEITZ,26,84,Bank Withdrawal,15,0
309,2848-YXSMW,38,130,Credit Card,29,0
310,2511-ALLCS,38,56,Bank Withdrawal,35,0
311,3391-JSQEW,32,208,Credit Card,28,0
312,4512-ZUIYL,31,382,Bank Withdrawal,34,1
313,5906-CVLHP,60,323,Credit Card,27,1
314,0277-ORXQS,33,301,Bank Withdrawal,18,0
315,2930-UOTMB,29,408,Credit Card,33,1
316,7148-XZPHA,43,142,Bank Withdrawal,16,0
317,6857-VWJDT,45,437,Credit Card,32,1
318,5917-HBSDW,20,171,Bank Withdrawal,22,0
319,4257-GAESD,25,285,Credit Card,23,0
320,0750-EKNGL,44,277,Mailed Check,20,0
321,6952-OMNWB,75,87,Credit Card,33,0
322,1767-CJKBA,39,130,Credit Card,29,0
323,8401-EMUWF,64,208,Bank Withdrawal,15,0
324,6349-JDHQP,62,65,Credit Card,15,0
325,8591-NXRCV,47,218,Bank Withdrawal,18,0
326,8473-VUVJN,80,250,Bank Withdrawal,33,1
327,9058-CBREO,69,398,Credit Card,38,1
328,7138-GIRSH,63,54,Bank Withdrawal,17,0
329,4480-QQRHC,72,248,Bank Withdrawal,19,0
330,4312-GVYNH,46,312,Bank Withdrawal,20,0
331,3656-TKRVZ,19,323,Bank Withdrawal,31,1
332,8873-GLDMH,45,317,Credit Card,35,0
333,1591-NFNLQ,38,356,Credit Card,20,1
334,9143-CANJF,29,312,Bank Withdrawal,19,0
335,4389-UEFCZ,25,290,Bank Withdrawal,29,0
336,0690-SRQID,20,253,Credit Card,35,0
337,3587-PMCOY,37,289,Bank Withdrawal,27,0
338,0488-GSLFR,41,334,Bank Withdrawal,28,1
339,7964-VEXDG,61,147,Bank Withdrawal,22,0
340,5307-UVGNB,40,224,Bank Withdrawal,28,0
341,3733-UOCWF,78,146,Bank Withdrawal,18,0
342,5669-SRAIP,55,520,Bank Withdrawal,36,1
343,6980-CDGFC,57,214,Bank Withdrawal,26,0
344,4713-LZDRV,80,385,Bank Withdrawal,32,1
345,4114-QMKVN,25,173,Bank Withdrawal,35,0
346,7508-KBIMB,33,150,Credit Card,20,0
347,7089-RKVSZ,43,367,Mailed Check,23,0
348,7890-VYYWG,67,276,Credit Card,40,1
349,3873-WOSBC,58,273,Credit Card,17,0
350,2833-SLKDQ,23,547,Credit Card,21,1
351,2983-ZANRP,27,307,Bank Withdrawal,20,1
352,2824-DXNKN,26,201,Bank Withdrawal,18,0
353,5906-BFOZT,54,368,Credit Card,28,0
354,7706-YLMQA,30,96,Bank Withdrawal,23,0
355,6198-RTPMF,46,99,Bank Withdrawal,17,0
356,1724-BQUHA,67,431,Bank Withdrawal,26,1
357,6821-JPCDC,29,314,Bank Withdrawal,19,0
358,5968-HYJRZ,28,360,Credit Card,30,0
359,8845-LWKGE,56,260,Bank Withdrawal,34,0
360,7872-RDDLZ,68,173,Bank Withdrawal,23,0
361,4741-WWJQZ,49,348,Bank Withdrawal,22,0
362,1219-NNDDO,51,221,Bank Withdrawal,33,0
363,0361-HJRDX,38,373,Credit Card,34,0
364,5236-PERKL,38,264,Bank Withdrawal,40,1
365,4971-PUYQO,48,373,Mailed Check,20,1
366,2133-TSRRM,47,50,Bank Withdrawal,25,0
367,2157-MXBJS,20,375,Credit Card,33,1
368,7241-AJHFS,53,147,Bank Withdrawal,33,0
369,6521-YYTYI,59,522,Bank Withdrawal,38,1
370,1025-FALIX,49,141,Credit Card,15,0
371,3454-JFUBC,66,296,Credit Card,24,0
372,8218-FFJDS,21,366,Bank Withdrawal,16,0
373,5203-XEHAX,55,294,Bank Withdrawal,21,0
374,2615-YVMYX,68,328,Bank Withdrawal,31,0
375,4884-LEVMQ,39,200,Bank Withdrawal,17,0
376,4918-QLLIW,23,352,Credit Card,21,1
377,2378-HTWFW,78,223,Credit Card,28,0
378,0082-OQIQY,50,135,Bank Withdrawal,31,0
379,3900-AQPHZ,45,399,Mailed Check,35,1
380,2004-OCQXK,44,380,Bank Withdrawal,34,1
381,3324-OIRTO,23,360,Bank Withdrawal,35,0
382,6582-PLFUU,40,168,Credit Card,29,0
383,0440-MOGPM,51,67,Bank Withdrawal,19,0
384,1809-DMJHQ,56,488,Mailed Check,32,1
385,2065-MMKGR,47,240,Credit Card,35,0
386,7026-YMSBE,62,179,Mailed Check,32,0
387,5997-OPVFA,39,265,Bank Withdrawal,16,0
388,3920-HIHMQ,53,378,Credit Card,27,0
389,5019-GQVCR,74,206,Bank Withdrawal,26,0
390,1208-NBVFH,63,159,Bank Withdrawal,21,0
391,0725-CXOTM,29,131,Credit Card,20,0
392,7975-TZMLR,37,116,Bank Withdrawal,23,0
393,7180-PISOG,41,490,Bank Withdrawal,28,1
394,8624-GIOUT,40,368,Credit Card,27,1
395,2878-RMWXY,75,222,Credit Card,28,0
396,0347-UBKUZ,46,169,Mailed Check,25,0
397,7005-CYUIL,78,223,Bank Withdrawal,17,0
398,2025-JKFWI,31,317,Credit Card,36,1
399,6092-QZVPP,27,324,Credit Card,32,0
400,6202-JVYEU,28,91,Bank Withdrawal,23,0
401,4720-VSTSI,54,331,Bank Withdrawal,33,1
402,1663-MHLHE,33,175,Credit Card,20,0
403,5325-UWTWJ,47,354,Credit Card,31,0
404,4139-DETXS,53,279,Bank Withdrawal,19,0
405,1100-DDVRV,27,102,Credit Card,24,0
406,2186-QZEYA,68,82,Bank Withdrawal,28,0
407,5366-IJEQJ,20,598,Bank Withdrawal,30,1
408,9670-BPNXF,48,381,Credit Card,31,0
409,4667-QONEA,72,349,Credit Card,25,0
410,3721-WKIIL,62,198,Mailed Check,17,0
411,1395-WSWXR,40,223,Credit Card,31,0
412,1218-VKFPE,48,585,Credit Card,22,1
413,2984-AFWNC,52,125,Bank Withdrawal,30,0
414,1506-YJTYT,21,300,Credit Card,17,0
415,0516-WJVXC,21,558,Bank Withdrawal,29,1
416,1075-BGWOH,69,419,Bank Withdrawal,27,1
417,1097-FSPVW,42,269,Credit Card,18,0
418,9962-BFPDU,61,336,Credit Card,17,0
419,0524-IAVZO,25,506,Bank Withdrawal,32,1
420,1257-SXUXQ,20,68,Credit Card,21,0
421,5027-XWQHA,35,539,Bank Withdrawal,26,1
422,2716-GFZOR,48,368,Credit Card,27,0
423,2674-MLXMN,73,339,Credit Card,27,0
424,5995-OIGLP,42,327,Credit Card,30,1
425,4227-OJHAL,47,170,Credit Card,19,0
426,1757-TCATG,24,267,Bank Withdrawal,35,0
427,6979-ZNSFF,48,271,Bank Withdrawal,29,1
428,1393-IMKZG,50,69,Bank Withdrawal,18,0
429,0727-BMPLR,66,267,Bank Withdrawal,30,1
430,2962-XPMCQ,56,347,Bank Withdrawal,30,1
431,4693-VWVBO,60,191,Bank Withdrawal,17,0
432,5597-GLBUC,48,383,Bank Withdrawal,38,1
433,4813-HQMGZ,54,59,Bank Withdrawal,34,0
434,7752-XUSCI,20,529,Bank Withdrawal,29,1
435,1077-HUUJM,48,81,Bank Withdrawal,23,0
436,2057-BOYKM,70,294,Bank Withdrawal,15,0
437,7945-PRBVF,47,266,Bank Withdrawal,35,0
438,8224-KDLKN,22,150,Bank Withdrawal,19,0
439,2988-PLAHS,58,308,Bank Withdrawal,32,0
440,1015-JPFYW,47,224,Credit Card,30,0
441,7175-NTIXE,26,124,Credit Card,28,0
442,7853-WNZSY,58,171,Credit Card,18,0
443,0913-XWSCN,29,90,Bank Withdrawal,33,0
444,6637-KYRCV,22,230,Bank Withdrawal,34,0
445,2272-QAGFO,75,571,Bank Withdrawal,38,1
446,3460-TJBWI,58,395,Credit Card,32,0
447,7838-LAZFO,38,311,Bank Withdrawal,22,0
448,5442-BHQNG,32,116,Bank Withdrawal,16,0
449,1459-QNFQT,21,135,Bank Withdrawal,24,0
450,3836-FZSDJ,69,236,Bank Withdrawal,15,0
451,9885-AIBVB,62,213,Bank Withdrawal,31,0
452,1131-QQZEB,66,147,Bank Withdrawal,35,0
453,5014-WUQMG,23,151,Bank Withdrawal,31,0
454,5834-ASPWA,55,302,Bank Withdrawal,20,1
455,1513-XNPPH,36,509,Bank Withdrawal,29,1
456,2834-SPCJV,40,463,Bank Withdrawal,33,1
457,5018-HEKFO,51,62,Credit Card,18,0
458,6967-QIQRV,23,343,Bank Withdrawal,28,0
459,3863-QSTYI,60,344,Bank Withdrawal,18,0
460,3967-KXAPS,42,150,Credit Card,31,0
461,0678-RLHVP,33,63,Bank Withdrawal,26,0
462,7928-VJYAB,44,343,Bank Withdrawal,16,0
463,6695-FRVEC,60,185,Bank Withdrawal,33,0
464,9067-YGSCA,35,156,Credit Card,33,0
465,3452-FLHYD,47,154,Bank Withdrawal,24,0
466,1024-GUALD,29,540,Bank Withdrawal,38,1
467,1298-PHBTI,40,350,Bank Withdrawal,15,0
468,9546-KDTRB,62,281,Bank Withdrawal,20,0
469,4849-PYRLQ,80,258,Bank Withdrawal,32,0
470,8883-ANODQ,44,305,Credit Card,21,0
471,0003-MKNFE,46,84,Credit Card,18,0
472,4177-JPDFU,35,192,Credit Card,31,0
473,0723-DRCLG,73,444,Bank Withdrawal,25,1
474,5734-EJKXG,25,311,Bank Withdrawal,22,0
475,5567-GZKQY,58,364,Credit Card,25,0
476,5792-JALQC,78,116,Bank Withdrawal,20,0
477,5985-BEHZK,78,117,Credit Card,33,0
478,9822-BIIGN,61,60,Bank Withdrawal,19,0
479,7021-XSNYE,46,174,Credit Card,27,0
480,6088-BXMRG,59,173,Bank Withdrawal,29,0
481,5117-ZSMHQ,22,108,Bank Withdrawal,24,0
482,2209-XADXF,40,109,Bank Withdrawal,20,0
483,8058-DMYRU,69,213,Bank Withdrawal,33,0
484,0480-KYJVA,42,209,Credit Card,21,0
485,1074-AMIOH,38,330,Bank Withdrawal,35,0
486,0186-CAERR,22,370,Bank Withdrawal,28,0
487,6000-UKLWI,46,232,Credit Card,21,0
488,7446-YPODE,75,226,Bank Withdrawal,34,0
489,9509-MPYOD,34,75,Credit Card,26,0
490,8065-QBYTO,68,130,Credit Card,22,0
491,8996-ZROXE,78,275,Bank Withdrawal,23,0
492,9752-ZNQUT,51,269,Bank Withdrawal,24,0
493,7044-YAACC,70,131,Bank Withdrawal,33,0
494,8185-UPYBR,33,398,Bank Withdrawal,28,1
495,5446-DKWYW,74,79,Bank Withdrawal,27,0
496,3627-FHKBK,28,508,Mailed Check,21,1
497,4826-XTSOH,66,590,Bank Withdrawal,28,1
498,1094-BKOSX,52,216,Bank Withdrawal,32,0
499,1373-ORVIZ,62,409,Bank Withdrawal,32,1
500,0843-WTBXE,38,363,Bank Withdrawal,37,1
501,9306-CPCBC,44,381,Bank Withdrawal,25,1
502,4821-SJHJV,25,64,Bank Withdrawal,25,0
503,7940-UQQUG,42,90,Bank Withdrawal,33,0
504,9639-BUJXT,50,121,Credit Card,26,0
505,4686-UXDML,24,95,Credit Card,34,0
506,3308-MHOOC,37,329,Credit Card,20,0
507,3740-RLMVT,79,127,Bank Withdrawal,15,0
